,PhraseNo,Phrase,IsHateSpeech
611,612,"['Edath', 'train', 'eke', 'hitapu', 'e', 'mahathwaru', 'eyata', 'epa', 'kiyala', 'elewwe', 'na']",NO
612,613,"['Oya', 'wage', 'ayata', 'lankawa', 'wage', 'rataka', 'anagathedi', 'thanak', 'tiyeida', 'kiyala', 'kiyanna', 'be', 'malli', 'budusaranai']",NO
622,623,"['හිතා', 'ගන්නත්', 'බැ', 'පුතා', 'ඔයාගේ', 'job', 'එක', 'මොකක්ද', 'නිකම්', 'ඇහුවේ']",NO
630,631,"['ගොන්', 'social', 'experiment', '3rd', 'class', 'වැඩ', 'බං', 'ඕවා', 'car', 'එකකට', 'අත', 'දාලා', 'ඕවා', 'කරපන්']",YES
631,632,"['අමුතුවෙන්', 'social', 'experiment', 'කරන්න', 'ඕන', 'නෑ', 'බූරැවෝ', 'ලංකාවේ', 'මිනිස්සු', 'කොහොමත්', 'එකිනෙකාට', 'උදව්', 'කර', 'ගන්නව', 'අපි', 'අනිත්', 'ජාතියෙන්', 'වෙනස්', 'වෙන්නේ', 'එහෙමයි', 'ගොන්', 'හරකෙක්', 'මූ']",YES
632,633,"['ඔය', 'video', 'clip', 'එක', 'පාර්ලිමේන්තුවෙ', 'මන්ත්', 'රී', 'ලා', '225', 'ට', 'සහ', 'රටේ', 'ජනාධිපතියට', 'පෙන්නන්න', 'ඕන', 'ඕක', 'බලල', 'වත්', 'හැදෙන්න']",NO
639,640,"['Honda', 'Wadak', 'me', 'video', 'eken', 'kiyanna', 'hadapu', 'de', 'terum', 'ganna', 'beri', 'moda', 'minissu', 'eka', 'eka', 'katha', 'kiyai', 'ganan', 'ganna', 'epa', 'e', 'ape', 'minissunge', 'hati']",NO
657,658,"['උන්ට', 'ගේමක්', 'දෙන්න', 'පුළුවන්', 'අපේ', 'private', 'බස්', 'driver', 'කෙනෙකුයි', 'three', 'wheel', 'හාදයෙකුයි', 'යැව්වනම්']",NO
660,661,"['like', 'anek', 'ratawala', 'ehema', 'unath', 'lankawe', 'ehema', 'wenne', 'NEA', 'suddanta', 'enna', 'kiymu', 'ape', 'rata', 'balnna', 'kiyamu']",NO
661,662,"['amanussayo', 'tikak', 'niwan', 'dakkanna', 'puluwanda', 'eka', 'paratama', 'mewa', 'tama', 'buddagama', 'waraddagatta', 'than']",YES
662,663,"['Boru', 'nowei', 'pako', 'kopamana', 'daksha', 'unath', 'u', 'amma', 'thaththata', 'watakolu', 'patholawage', 'salakanne', 'Rajgama', 'gedarata', 'gihin', 'balaapiya']",YES
664,665,"['Ape', 'rate', 'enne', 'gotthrikayo', 'unwa', 'hadanna', 'baha', 'un', 'thama', 'gas', 'gal', 'walata', 'wadina']",YES
672,673,"['Canadawe', 'ayata', 'හිතනවද', 'ලංකාවේ', 'system', 'eka', 'hodai', 'kiyala']",NO
675,676,"['a', 'pe', 'samahara', 'nugat', 'drivers', 'la', 'nisa', 'chatar', 'lankawa']",NO
677,678,"['Api', 'me', 'loke', 'kothanada', 'inne', 'kiyala', 'hithenawa', 'නේද']",NO
683,684,"['Thawath', 'minihek', 'geana', 'hithana', 'minissu', 'innawanam', 'mee', 'puja', 'bumiya', 'apirisidu', 'wenne', 'nee']",NO
686,687,"['අපේ', 'ලංකාවේ', 'මෙහෙම', 'වුණානම්', 'ඉතින්', 'ඔය', 'තාත්තාට', 'sorry', 'තමා', 'අපේ', 'ඉන්න', 'කෙල්ලෝ', 'ඔය', 'මනුස්සයා', 'දිහා', 'බලන්නේවත්', 'නැහැ']",NO
690,691,"['Ape', 'rate', 'enne', 'doctors', 'lata', 'gahala', 'maranna', 'hadana', 'campus', 'lamaei', 'ne', 'ethin', 'Ape', 'rata', 'ta', 'mehema', 'wasanawak', 'kohen', 'da']",YES
692,693,"['Ai', 'ban', 'sira', 'mehema', 'naganne']",NO
693,694,"['Kiyanna', 'kanagaatui', 'ape', 'lankawe', 'mewage', 'unanam', 'mokakin', 'mokak', 'weida', 'danne', 'ne', 'aa', 'tharamatama', 'gunayahapath', 'kam', 'adui']",NO
697,698,"['Hitapu', 'aka', 'ape', 'petrol', 'wahana', 'aran', 'rata', 'bi', 'bi', 'awidinawa', 'meka', 'nobi', 'pissu', 'kelinawa']",NO
698,699,"['Ekata', 'ape', 'aya', 'udgoshana', 'witharai', 'Anna', 'mahajanayage', 'salli', 'walin', 'igena', 'ganna', 'niyama', 'lamai']",NO
702,703,"['May', 'ayata', 'tamai', 'kiyanne', 'Minis', 'wesin', 'Inna', 'deviwaru', 'kiyala', 'Budu', 'saranai', 'obata']",NO
706,707,"['Manussakamata', 'සලකනව', 'ihalinma', 'mahaththayo']",NO
707,708,"['ගොඩක්', 'hoda', 'දෙයක්', 'නේද']",NO
708,709,"['Rakiyawata', 'hariyatama', 'galapena', 'kenek', 'oya', 'Mona', 'agamak', 'adahuwath', 'oyata', 'theruwan', 'saranai']",NO
709,710,"['Ape', 'rate', 'ayata', 'mewa', 'hoda', 'ආදර්ශයක්', 'වේවා']",NO
711,712,"['OBATA', 'DALADA', 'SAMIDU', 'PIHITAI']",NO
712,713,"['menna', 'kello', 'ekata', 'lankaw', 'aun', 'munge', 'age', 'idamma', 'loku', 'kama']",NO
715,716,"['ඒකට', 'අපේ', 'උන්', 'බයි', 'පාස්', 'කරන්න', 'ඔනේ', 'කියලා', 'ලක්ස', '10', 'ක්', 'හොයාගන්න', 'කියයි']",NO
717,718,"['kawda', 'oi', 'me', 'giriya', 'yatin', 'ka', 'gahana', 'eka', 'p', 'epa', 'wenawa']",YES
718,719,"['Godak', 'duka', 'hithuna', 'E', 'wagema', 'gadak', 'sathutu', 'hithuna', 'mewage', 'ayagana']",NO
719,720,"['Jeewithe', 'keeyak', 'anathureda', 'ai', 'me', 'wasa', 'kala', 'tharuna', 'jeewitha', 'apayak', 'karaganne']",NO
722,723,"['Monna', 'Hutthakda', 'oi', 'me', 'Lassana', 'sindu', 'mun', 'epa', 'karawanawa', 'thmanta', 'kiyala', 'sinduwak', 'karaganna', 'barinam', 'nikan', 'innawako', 'me', 'wage', 'hoda', 'sindu', 'kanne', 'nathuwa', 'Liyatabara', 'sinduwatath', 'mekkami', 'Kare', 'mu']",YES
724,725,"['2', '40', 'බලන්න', 'පිටිපස්සේ', 'වාහනේ', 'ඉන්න', 'බල්ලා', 'මේ', 'බල්ලෝ', 'දිහා', 'බලන', 'විදිහ', 'අනේ', 'මටත්', 'කවුරුවත්', 'නැද්ද', 'මේ', 'වගේ', 'බලාගන්න', 'කියල', 'ඌට', 'හිතෙන්න', 'ඇති']",NO
729,730,"['Oi', 'cricket', 'board', 'ekata', 'betting', 'walin', 'ena', 'salli', 'enne', 'nane', 'Hama', 'foreign', 'tour', 'ekakatama', 'salli', 'hambenawa', 'loku', 'ganak', 'Ekane', 'ape', 'ewunwa', 'Tour', 'yawwe', 'palenakan', 'Lankawe', 'tour', 'ekak', 'thibunama', 'tickets', 'walin', 'arawain', 'mewain', 'ena', 'salli', 'enawa']",NO
730,731,"['මේකා', 'Hutch', 'එකට', 'කරපු', 'එක', 'මතකද', 'උබලට', 'සිම්පල්', 'plan', 'එකකක්', 'මුට', 'සල්ලි', 'පෙරේතය', 'සල්ලි', 'වලට', 'මු', 'ඕන', 'දෙයක්', 'කරනව']",YES
731,732,"['Mu', 'idagena', 'betting', 'walin', 'lakawa', 'parada', 'karawala', 'Hari', 'salli', 'hambakaranawa', 'athi', 'Habai', 'ea', 'salli', 'cricket', 'board', 'ekata', 'hambenne', 'na']",YES
736,737,"['මනුස්සයෙක්', 'දෙයක්', 'පටන්', 'ganna', 'kota', 'ape', 'unge', 'පුරුද්දක්', 'tma', 'hena', 'tok', 'deela', 'ka', 'ghana', 'eka', 'එකට', 'එකතු', 'wenna', 'blanne', 'na', 'ape', 'රට', 'diyunu', 'kranna', 'amaru', 'ekai', 'bn']",NO
738,739,"['Naki', 'deshapaluwo', 'inna', 'ape', 'rate', 'oba', 'wage', 'tharuna', 'nayakayek', 'rate', 'nayakayek', 'wena', 'eka', 'gana', 'adambarai']",NO
739,740,"['Mahattaya', 'oyata', 'api', 'godak', 'adarei', 'tamai', 'ath', 'illagena', 'kanna', 'hadanna', 'epa', 'oyatath', 'minissu', 'drohiyek', 'vidihata', 'salakai']",NO
741,742,"['මොකද', 'ඉතින්', 'ඒවට', 'විතරයි', 'මෙයාගෙන්', 'Video', 'Clip', 'එළියට', 'එන්නෙ', 'පන්සල්', 'බුදු', 'පිළිම', 'තම්බියො', 'කඩන්නෙ', 'නැහැලු']",YES
743,744,"['Apinam', 'mahinda', 'mathayata', 'marenakan', 'chande', 'denne', 'mahida', 'maththayata', 'mama', 'oda', 'sinhalaye', 'ekai', 'sinhala', 'kama', 'raka', 'gannanam', 'mahinda', 'maththayata', 'chance', 'dipan', 'sinhalayo']",NO
744,745,"['ballallu', 'lawa', 'kos', 'ata', 'bawanawa', 'keyanne', 'mekata', 'mun', 'krikat', 'gana', 'dana', 'gaththata', 'deshapalane', 'karanne', 'khomada', 'aka', 'sarayak', 'ponseka', 'mewa', 'moda', 'weda', 'thawa', 'serisena', 'anunge', 'karapetin', 'yanawa', 'un', 'hora', 'kanawa']",NO
746,747,"['Ane', 'sago', 'oya', 'ape', 'gaurawe', 'epa', 'desapalanetanam', 'enna', 'wadinnam', 'atha', 'gourawaya', 'ita', 'wada', 'watinawa', 'aya', 'lowak', 'watina', 'wasthuwak', 'sanga', 'mahsththayo', 'lankawa', 'hadanna', 'sakkarayatawath', 'bha', 'mhaththayo']",NO
747,748,"['Me', 'vidihata', 'kattiya', 'hithala', 'desapalanaya', 'karana', 'ape', 'rata', 'kana', 'unta', 'chande', 'nodi', 'imuko', 'ath', 'ahema', 'karanne', 'na', 'kisima', 'kenak', 'ath', 'sangata', 'nam', 'baninava', 'Devani', 'pela', 'haduve', 'nalu', 'issella', 'Dan', 'me', 'inna', 'desapalanaya', 'karana', 'unva', 'evavanna', 'ekathu', 'vemu', 'passe', 'hamadeyakatama', 'devani', 'pelak', 'ai']",NO
750,751,"['oba', 'kumana', 'paramarhhayak', 'atthekdhay', 'nodhanimi', 'namuth', 'oba', 'dhesapalneta', 'paminiyoth', 'obata', 'aadhare', 'karay', 'siyallo', 'dhesapalanaya', 'yanu', 'kunugandha', 'gahana', 'dheyak', 'wuwath', 'ayin', 'thama', 'ratak', 'goda', 'nageemata', 'awasya', 'oba', 'mahathmayek', 'hondha', 'piyek', 'swamiyek', 'emenma', 'rate', 'minissun', 'aadhare', 'karanaa', 'minisek']",NO
751,752,"['oba', 'kumana', 'paramarhhayak', 'atthekdhay', 'nodhanimi', 'namuth', 'oba', 'dhesapalneta', 'paminiyoth', 'obata', 'aadhare', 'karay', 'siyallo', 'dhesapalanaya', 'yanu', 'kunugandha', 'gahana', 'dheyak', 'wuwath', 'ayin', 'thama', 'ratak', 'goda', 'nageemata', 'awasya', 'oba', 'mahathmayek', 'hondha', 'piyek', 'swamiyek', 'emenma', 'rate', 'minissun', 'aadhare', 'karanaa', 'minisek']",NO
752,753,"['Thamage', 'thiranaya', 'hoda', 'weida', 'balamu', 'desha', 'palane', 'nokara', 'baida', 'hoda', 'wada', 'piliwelakata', 'yanna']",NO
753,754,"['Clean', 'our', 'mother', 'nation', 'kiyala', 'project', 'ekk', 'unot', 'oka']",NO
754,755,"['Eka', 'ekkenaga', 'lanu', 'kanna', 'epa', 'just', 'support', 'someone', 'who', 'really', 'love', 's', 'Sri', 'Lanka', 'for', 'example', 'Nagananda', 'Kodithuwakku']",NO
756,757,"['Mokakda', 'wede', 'kohomada', 'sambannda', 'wenne', 'kohedida', 'honda', 'deyaknam', 'ekenma', 'ennam', 'please', 'details']",NO
757,758,"['Lankawe', 'Deshapalaneta', 'anawata', 'wada', 'hoday', 'gedarata', 'wela', 'enna', 'aka', 'sanga', 'kiyana', 'kridakaya', 'baluwenawata', 'api', 'asa', 'NE']",NO
780,781,"['ME', 'RATA', 'HADANDA', 'SAKKARAYAGE', 'PUTHA', 'WAIMA', 'AWATH', 'BA', 'ANE', 'PAU', 'SANGA']",NO
781,782,"['Hadanawanam', 'ratha', 'rakinawaname', 'sihala', 'jaathiya', 'onama', 'dayakatha', 'api', 'rade']",NO
783,784,"['පුත්තලම්', 'බුරුවෙක්ගේ', 'voice', 'එක', 'record', 'කරල', 'ඇහුවනම්', 'මීට', 'වඩා', 'දාහෙන්', 'සම්පතයි']",YES
785,786,"['Mama', 'mokut', 'kiyannema', 'namai', 'Topi', 'kiyana', 'katandara', 'booomai']",NO
786,787,"['Bahujathika', 'samagamwalata', 'wikinene', 'un', 'kohomada', 'rata', 'hadanne']",NO
790,791,"['Rata', 'hadanna', 'kalin', 'buddha', 'සංස්කෘතියට', 'අනුගත', 'වෙලා', 'ඉන්න']",NO
792,793,"['Oya', 'wage', 'Honda', 'minissu', 'thamai', 'apita', 'one', 'sanga', 'I', 'am', 'your', 'big', 'fan', 'best', 'of', 'luck']",NO
797,798,"['ඇත්ත', 'කිව්වොත්', 'ඇතුලෙ', 'මරපු', 'මන්ත්', 'රී', 'ගෙ', 'පුතෙක්', 'දැන්', 'ඇමති', 'කෙනෙක්', 'කිව්ව', 'නේද', 'Tv', 'දෙරණ', 'පෙනි', 'සිටින්ඩ', 'මේ', 'අසරනය', 'වෙනුවෙන්']",NO
805,806,"['Match', 'Fixing', 'කරපු', 'පලියට', 'Board', 'එකට', 'සල්ලි', 'හම්බවෙනවනම්', 'ඕයි', 'මොනා', 'කරගන්න', 'බැරිද', 'ලැජ්ජායි', 'සාක්ෂරතාව', '0', 'යි']",NO
807,808,"['Buki', 'karayanta', 'cricket', 'daila', 'lankwe', 'thibba', 'ekama', 'kridawatath', 'hikuwa', 'Mun', 'wage', 'un', 'hadapu', 'unta', 'gaham', 'ona']",NO
808,809,"['hena', 'gahanawa', 'yakoo', 'munata', 'nam', 'mechchara', 'pal', 'horu', 'inna', 'rataka', 'ahansaka', 'manusseyak', 'anika', 'uparima', 'sira', 'daduwam', 'widala', 'eliyata', 'awilla', 'thawa', 'oni', 'nam', 'podi', 'kalayak', 'jiwath', 'wei', 'ayeth', 'hireta', 'dala', 'monawada', 'balaporuththo', 'wenne']",NO
809,810,"['me', 'manussaya', 'okkoma', 'hira', 'gewal', 'ethule', 'wena', 'dewal', 'kiwane', 'ee', 'nisada', 'koheda', 'ayeth', 'athulata', 'danna', 'hadanne']",NO
810,811,"['දෙරණෙ', 'තිබ්බ', 'program', 'එකෙන්', 'ඇත්ත', 'එලි', 'කල', 'නිසා', 'බොරැ', 'චෝදනාවකට', 'හිරේ', 'දාාලා', 'පස්සේ', 'කියාවි', 'දැඩි', 'ලෙස', 'රෝගාතුර', 'වී', 'ජිවිතක්ෂයට', 'පත්', 'උනා', 'කියලා']",NO
814,815,"['Anduwe', 'ona', 'tharam', 'horu', 'innawa', 'oka', 'anduwe', 'ekak', 'kaloth', 'uta', 'naduth', 'na', 'mokuth', 'na']",NO
815,816,"['amathiyekge', 'nangi', 'kenek', 'maruwanm', 'u', 'marapu', 'unwath', 'marala', 'rajek', 'wage', 'jiwath', 'wei', 'kalakanni']",NO
816,817,"['aththa', 'katha', 'karana', 'minihata', 'kawadawath', 'samawak', 'naha', 'anika', 'Janadhipathi', 'samawa', 'dunnata', 'passe', 'thawath', 'mona', 'magulakda', 'dan', 'rate', 'thiyenne', 'kalaa', 'neethiya']",NO
817,818,"['paw', 'ahinsaka', 'manussaya', 'derana', 'umbalama', 'dan', 'meka', 'beerala', 'deepalla', 'nathnam', 'Derana', 'report', 'wei']",NO
819,820,"['ජනාධිපති', 'සමාව', 'දුන්න', 'මනුස්සයෙක්ගෙන්', 'Interview', 'එකක්', 'ගද්දි', 'තව', 'හිතන්න', 'තිබුණා', 'සම්පුර්ණ', 'නිදහස', 'ලබලා', 'ආවා', 'විතරයි', 'කිව්වා']",NO
821,822,"['Mewata', 'kiyanta', 'wachana', 'naha', 'ara', 'ahinsaka', 'manussayata', 'awasana', 'kalewath', 'hodinjiwath', 'wenna', 'denney', 'nathiwa', 'kalakanni', 'desapalakayangey', 'nithiya', 'ada', 'ballata', 'ghin', 'asadarana', 'ballanta', 'ona', 'vidiya', 'nithiya', 'ada', 'wada', 'karanney']",NO
822,823,"['Me', 'ahinsakaya', 'ayeth', 'hire', 'thopita', 'hodaknam', 'wenna', 'epa', 'lokapalakadewiya', 'Ntaawath', 'mewa', 'penewa', 'eththa', 'katha', 'kalaata', 'daduwam', 'derana', 'ko', 'ඉදිරිපත්', 'wenna', 'den', 'pal', 'horu', 'iddi', 'ai', 'mea']",NO
823,824,"['Lajjaei', 'oooiiii', 'rataketa', 'giyapu', 'kalak']",NO
824,825,"['Ape', 'gonnu', 'nimadu', 'dagena', 'match', 'balanawa', 'hehehehe']",NO
828,829,"['Ai', 'ban', 'me', 'wage', 'asarana', 'minissungen', 'pali', 'ganne', 'ban', 'hamdema', 'hadagen', 'aliyata', 'awilla', 'hodin', 'iddi', 'me', 'wage', 'sakkili', 'wada', 'karanne']",NO
829,830,"['maha', 'banku', 'kolla', 'kapu', 'hora', 'kapu', 'ahinsakae', 'wage', 'minissungen', 'jiwath', 'wena', 'sakkilinta', 'nithiyak', 'naha', 'hamdama', 'thlune', 'podi', 'asaran', 'manusayo']",NO
830,831,"['minissu', 'paksha', 'beda', 'nathuwa', 'buddimath', 'wenna', 'one', 'mewata', 'hena', 'ganahanwa', 'me', 'karan', 'sakkili', 'wada', 'walata']",NO
831,832,"['Yako', 'aedagena', 'yanna', 'mokadda', 'karapu', 'warada', 'munge', 'hora', 'eliwena', 'nisa', 'meka', 'kare', 'mekata', 'wagakiyanna', 'oni', 'derana', 'eka', 'thamai', 'aeththa']",NO
833,834,"['Rate', 'minissu', 'danaganna', 'one', 'mun', 'wage', 'deshapalakayonta', 'aye', 'amataka', 'nowenna', 'padamak', 'uganwanna', 'karumeta', 'ape', 'rate', 'minissunta', 'ehema', 'mind', 'ekak', 'ne']",NO
836,837,"['අනික', 'මේ', 'මනුස්සය', 'හිරේ', 'හිටියනම්', 'කොහොමද', '2006', 'සොරකම්', 'නඩුවකට', 'අහු', 'වෙන්නෙ', 'මේකනම්', 'හොද', 'කුමන්ත්', 'රණයක', 'සමහරවිට', 'මේ', 'මනුස්සය', 'ලෙඩ', 'වෙල', 'මැරුන', 'කියල', 'කියයිද', 'දන්නෙ', 'නෑ']",NO
837,838,"['ඒත්', '2006', 'හොරකමකට', 'අහුවෙලා', 'අනේ', 'මන්ද', 'ඉතින්', 'මේ', 'නඩුව', 'අහද්දි', 'ටී', 'වී', 'දෙරණ', 'ඇප', 'දෙන්න', 'කවුරුත්', 'ලෑස්ති', 'කලේ', 'නැද්ද', 'දන්නෙ', 'නෑ']",NO
843,844,"['දිව්', 'ය', 'ලෝකේ', 'යන්න', 'බලාගෙන', 'ඉන්න', 'අයට', 'ඔය', 'අහපු', 'ප්', 'රශ්ණය', 'මම', 'හිතන්නේ', 'ගැබුරු', 'වැඩියි', 'කියලා', 'දිව්', 'යලෝක', 'කොහොමත්', 'අපායට', 'යන', 'මාර්ගයනම්', 'හදාගන්නවා', 'ආර්යයන්', 'වහන්සේලාට', 'ගැරහ', 'ගරහා', 'ඉදල', 'බවනම්', 'පේනවා', 'ඔය', 'ශ්', 'රාවක', 'page', 'එකේ', 'set', 'එක']",NO
847,848,"['මෙි', 'ගොයියෝ', 'ටික', 'කාලයක', 'සිට', 'මඩ', 'ගහන්න', 'ගත්ත', 'පුලුවන්', 'තරමි', 'උත්සාහ', 'කලා', 'පහදල', 'දෙන්න', 'ඒත්', 'post', 'මකනවා', 'උත්තර', 'දෙන්න', 'අපහසු', 'විට', 'නැත්නමි', 'මඩම', 'ගහනවා']",NO
854,855,"['Kaala', 'kanni', 'me', 'manussyata', 'thawath', 'duk', 'denna', 'epa', 'bolaw']",NO
855,856,"['Hira', 'gedara', 'una', 'siyaluma', 'dewal', 'eli', 'kara', 'ekai', 'me', 'pali', 'ganima', 'Paw', 'dan', 'ko', 'derana', 'rating', 'wadi', 'k', 'ganna', 'kala', 'wadak', 'dan', 'harine']",NO
861,862,"['ඔයා', 'ගෙ', 'අම්මා', 'එතකොට', 'තේරුම්', 'ගණි', 'එතුමිය', 'kala', 'වරද']",NO
862,863,"['Umbath', 'loku', 'unnama', 'duwe', 'umbe', 'ammawa', 'para', 'dala', 'warenn']",NO
868,869,"['Anunge', 'deyak', 'langa', 'thiya', 'ganna', 'be', 'Policiyata', 'baara', 'denna', 'thibuna', 'Salli', 'denawa', 'kiwwama', 'genath', 'dunna', 'wenna', 'berida']",NO
869,870,"['Honda', 'porak', 'nam', 'trishaw', 'kaarayai', 'post', 'ekak', 'hadala', 'daanna', 'oona', 'thama', 'langa', 'nethiunu', 'lap', 'top', 'ekak', 'thiyenawa', 'kyala', 'Kohoma', 'unath', 'return', 'karapu', 'eka', 'gena', 'sathutui']",NO
870,871,"['Supiri', 'bn', 'share', 'walin', 'aththatama', 'udawwak', 'labila', 'thiyenawane', 'ara', 'deiyyange', 'magul', 'nethuwa', 'oatta']",NO
871,872,"['tamange', 'pattata', 'awama', 'u', 'karapu', 'hama', 'deyakma', 'sadarnai', 'kiyana', 'tana', 'indin', 'katakaranawa', 'mithree', 'pala', 'awath', 'pohottuwata', 'e', 'yakat', 'hondai', 'kiyla', 'kiyana', 'minissu', 'ape', 'rate', 'inne']",NO
874,875,"['ඇයි', 'බන්', 'වැදගත්', 'ෆයිල්', 'Cloud', 'දාන්නේ', 'නැත්තේ']",NO
875,876,"['අනේ', 'thank', 'you', 'ත්', 'රී', 'වීල්', 'මල්ලි', 'ඔයා', 'රටේ', 'නම්බුව', 'බේරපු', 'වීරයෙක්']",NO
877,878,"['Apita', 'lajja', 'nehe', 'Horu', 'rajawenne', 'ema', 'nisa']",NO
879,880,"['Wade', 'nam', 'hoday', 'salle', 'gaththa', 'ekanam', 'tikak', 'awul']",NO
881,882,"['Lankawata', 'mokada', 'wela', 'thiyenne', 'Ahinsaka', 'minissunge', 'badhu', 'mudalin', 'padi', 'aragena', 'e', 'minissunwama', 'apahasuthawayata', 'path', 'kranawa']",NO
882,883,"['mn', 'kiyanne', 'weda', 'warjanaya', 'krana', 'onema', 'kshethrayakata', 'ehema', 'kroth', 'eyala', 'ain', 'karala', 'aluth', 'ayawa', 'ganna', 'one', 'ona', 'tharam', 'kattiya', 'innawa', 'weda', 'karanna', 'me', 'minissu', 'sadarana', 'ne', 'doctor', 'lath', 'ehemai']",NO
883,884,"['ඔහොම', 'ගහලා', 'මදි', 'බන්', 'ආමී', 'එකේ', 'කොල්ලන්ට', 'traning', 'කරලා', 'කොච්චි', 'වලට', 'දැම්මනම්', 'අද', 'වැඩ්', 'පඩි', 'ඉල්ලලා', 'strike', 'කරන්නේ', 'නැහැ', 'ජනතාව', 'ලස්සනට', 'ගමන්', 'ට්ක', 'කරගන්නවා']",NO
885,886,"['Machanla', 'ඔය', 'ගැහුවේ', 'දුම්රිය', 'දෙපාර්තමේන්තුවේ', 'ayata', 'නෙවෙයි', 'ban', 'ඔය', 'sri', 'lanka', 'insurance', '1k', 'wada', 'කරන', 'කෙනෙක්', 'පොර', 'awelawe', 'කියලා', 'තියෙන්නේ']",NO
891,892,"['Me', 'wage', 'minisu', 'dekkama', 'loku', 'satutak', 'denenawa', 'arabi', 'kiyanne', 'darunu', 'minisu', 'inne', 'ratak', 'ath', 'meyala', 'ehema', 'ne']",NO
892,893,"['Pin', 'athwai', 'mahathayo', 'ubala', 'dan', 'pawul', '7kata', 'athiwenna', 'hambakaragaththane', 'oi', 'putuwe', 'edan', 'Sumathipalata', 'nam', 'lajjawak', 'na', 'perethaya']",NO
895,896,"['උදව්වක්', 'one']",NO
904,905,"['Oka', 'hadanna', 'patagannkota', 'epa', 'kiyala', 'natapu', 'aya', 'akka', 'inna', 'hoda', 'porata']",NO
906,907,"['Arabi', 'walin', 'higa', 'kapu', 'salli']",NO
912,913,"['Malinga', 'chande', 'ellapan', 'uba', 'dinanawa', 'me', 'rate', 'niliyo', 'chande', 'ellala', 'dinuwa', 'nam', 'ubata', 'gamakma', 'ne', 'hoda', 'pakshekin', 'ellala', 'uba', 'oya', 'ubata', 'kenehilikam', 'karapu', 'unta', 'pennapan', 'me', 'rate', 'minissu', 'ubata', 'ennawa', 'kiyala', 'pennapan']",NO
913,914,"['උන්ට', 'බම්බු', 'ගහන්න', 'කියලා', 'අපි', 'ඌට', 'farewell', 'එකක්', 'දෙමු']",NO
917,918,"['Hena', 'hathama', 'Gahapuya', 'LEBAROY', 'thota', 'මාලිංග', 'ta', 'wagema', 'ධනුෂ්ක', 'yata', 'karapu', 'ewataaa']",NO
921,922,"['Maharagama', 'Christian', 'sambawayak', 'tiyena', 'godak', 'minnssu', 'inna', 'sinhala', 'burger', 'oya', 'dasun', 'meeta', 'awurudu', '30', 'kata', 'kalin', 'sulabai']",NO
922,923,"['Mewa', 'dekkahama', 'mage', 'papuwa', 'pelenawa', 'gage', 'sansara', 'gamanata', 'yanna', 'kauruth', 'kemati', 'nehe']",NO
925,926,"['Mamath', 'dekka', 'meyalawa', 'godak', 'sathutu', 'hithuna', 'meyalage', 'adare', 'gena']",NO
926,927,"['Ehema', 'thamai', 'wenna', 'one']",NO
935,936,"['Iwarayak', 'nadda', 'oii', 'මේ', 'මගුල']",NO
938,939,"['Ape', 'vahallunta', 'Honda', 'padam']",NO
939,940,"['Final', 'ආපු', 'එක', 'වගේද', 'බං', 'හැමදාම', 'පරාද', 'වෙන', 'එක']",NO
940,941,"['කොඩිය', 'විතරක්', 'ගිහින්', 'වැඩක්', 'නැතෝ', 'Team', 'eka', 'ගිහිල්ලා', 'අපිට', 'වනන්න', 'අවස්ථාවක්', 'තමයි', 'ඕනා']",NO
941,942,"['ටීම්', 'එකක්', 'world', 'cup', 'එකට', 'නොගියට', 'මොක්ද', 'කොඩිය', 'අරං', 'හරි', 'එකෙක්', 'යනවනෙ', 'ඒත්', 'මිනිස්සු', 'බලනවා', 'ඇති', 'මේ', 'මොන', 'රටක', 'කොඩියක්ද', 'කියලා']",NO
943,944,"['Kodiya', 'aelluvata', 'ජාත්', 'යන්තරyata', 'yanna', 'be', 'ne', 'ahenam', 'apee', 'team', 'akak', 'fifa', 'gahanna', 'harinona']",NO
946,947,"['Attamai', 'adambarai', 'kohoma', 'haduwath', 'Rata', 'gana', 'kakkuma']",NO
947,948,"['Cricket', 'Board', 'eka', 'ewun', 'hithagena', 'inne', 'unta', 'eka', 'paramparawen', 'labunu', 'deyak', 'kiyala', 'Sellan', 'karanne', 'wena', 'ewun', 'lakunu', 'daganne', 'un', 'Hariyata', 'lankawe', 'udde', 'dinuwa', 'wage']",NO
949,950,"['ලංකාවේ', 'අය', '6', 'දෙනෙක්', 'විතරයි', 'ඉන්නෙ']",NO
952,953,"['ඒකට', 'මෙහෙ', 'ඉන්න', '225', 'නොදකින්']",NO
954,955,"['aperate', 'wagemai', 'budu', 'amboo']",NO
956,957,"['Ane', 'manda', 'mewa', 'balala', 'ape', 'aya', 'kohoma', 'react', 'karaida', 'kiyala']",NO
957,958,"['Ape', 'eka', 'mewa', 'dakinneth', 'paththaren']",NO
960,961,"['Konda', 'kelin', 'warada', 'warada', 'vidiyata', 'penwana', 'minissu', 'balu', 'karala', 'sutikko', 'legendsla', 'karana', 'mediane', 'ape', 'minissu', 'illane', 'Malinga', 'hamadamath', 'adarei', 'kelin', 'kathakarana', 'obata']",NO
962,963,"['යකෝ', 'උන්', 'දන්නවද', 'තව', 'ටිකකින්', 'goal', 'එකක්', 'ගහනව', 'කියලා']",NO
